City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bonthe,7.5264,-12.505,23.98,96,100,4.75,SL,1691649051
83,lompoc,34.6391,-120.4579,17.66,87,100,1.54,US,1691649051
84,hamilton,39.1834,-84.5333,20.98,94,100,4.12,US,1691649031
85,ust-nera,64.5667,143.2,23.07,35,33,1.36,RU,1691649052
86,alice springs,-23.7,133.8833,25.75,15,0,5.14,AU,1691649052
87,santa ana de yacuma,-13.75,-65.4333,25.86,50,0,0.42,BO,1691649052
88,martapura,-3.4167,114.85,34.05,36,20,1.03,ID,1691649052
89,edinburgh of the seven seas,-37.0676,-12.3116,10.56,58,44,8.68,SH,1691649053
90,hurricane,37.1753,-113.2899,27.96,47,96,0.45,US,1691649053
91,saipan,15.1355,145.701,27.39,100,40,7.2,MP,1691649053
92,yarmouth,41.7057,-70.2286,22.86,73,0,4.47,US,1691649053
93,bredasdorp,-34.5322,20.0403,10.71,79,0,2.3,ZA,1691648765
94,bich'vinta,43.1592,40.3378,29.1,76,47,2.87,GE,1691649054
95,college,64.8569,-147.8028,18.66,82,75,2.06,US,1691649054
96,san luis de la loma,17.2706,-100.8939,25.7,97,100,1.71,MX,1691649054
97,afaahiti,-17.75,-149.2833,22.93,72,44,7.56,PF,1691649054
98,arteche,12.2645,125.4048,27.98,81,100,1.93,PH,1691649055
99,pokrovskoye,47.4157,38.8971,26.86,59,100,4.67,RU,1691649055
100,labuan,5.2767,115.2417,31.2,58,20,2.68,MY,1691649055
101,nelson bay,-32.7167,152.15,23.33,46,69,5.36,AU,1691649055
102,nar'yan-mar,67.6713,53.087,18.18,55,0,3.12,RU,1691649056
103,punta arenas,-53.15,-70.9167,4.48,91,94,4.47,CL,1691648893
104,lorengau,-2.0226,147.2712,27.45,82,99,7.31,PG,1691648867
105,manokwari,-0.8667,134.0833,27.9,75,88,2.32,ID,1691648998
106,recreo,-29.2818,-65.061,13.77,65,100,4.69,AR,1691649056
107,covington,39.0837,-84.5086,21.32,90,100,4.12,US,1691649016
108,kashgar,39.4547,75.9797,31.56,19,0,6.0,CN,1691648856
109,saguenay,48.4168,-71.0657,11.46,100,0,1.54,CA,1691649006
110,hermanus,-34.4187,19.2345,17.46,41,0,2.08,ZA,1691649057
111,sitka,57.0531,-135.33,14.94,88,100,2.06,US,1691649057
112,fortuna,40.5982,-124.1573,17.03,97,100,2.57,US,1691649057
113,severnoye,56.3491,78.3619,15.73,67,100,2.39,RU,1691649058
114,palikir - national government center,6.9248,158.1611,30.47,79,75,3.6,FM,1691649013
115,uturoa,-16.7333,-151.4333,25.54,65,98,7.04,PF,1691649058
116,saurimo,-9.6608,20.3916,23.98,24,27,3.45,AO,1691649058
117,west island,-12.1568,96.8225,27.99,69,75,6.69,CC,1691649058
118,azul,-36.777,-59.8585,9.58,97,100,3.36,AR,1691649059
119,hawaiian paradise park,19.5933,-154.9731,25.73,90,100,6.17,US,1691649059
120,thompson,55.7435,-97.8558,8.09,93,0,1.03,CA,1691649059
121,papao,-17.75,-149.55,23.82,73,63,8.56,PF,1691649059
122,kone,-21.0595,164.8658,16.93,60,0,5.39,NC,1691649059
123,fish town,5.1964,-7.8756,21.67,93,100,1.8,LR,1691649060
124,tual,-5.6667,132.75,26.0,80,6,7.96,ID,1691649060
125,fabens,31.5023,-106.1586,32.62,37,78,7.21,US,1691649060
126,caidian,30.5833,114.0333,34.07,49,8,3.61,CN,1691649060
127,london,51.5085,-0.1257,17.14,92,0,1.54,GB,1691648974
128,es castell,39.8795,4.2854,25.38,88,0,2.06,ES,1691649061
129,geraldton,-28.7667,114.6,17.23,77,100,3.6,AU,1691649061
130,iskateley,67.6803,53.1512,18.16,55,0,3.09,RU,1691649061
131,metahara,8.9,39.9167,24.65,64,100,3.11,ET,1691649062
132,vallenar,-28.5708,-70.7581,13.66,80,97,1.76,CL,1691649062
133,port alfred,-33.5906,26.891,15.66,86,0,0.45,ZA,1691649062
134,baotou,40.6522,109.8222,33.66,36,100,4.34,CN,1691649062
135,collipulli,-37.95,-72.4333,8.05,95,100,4.65,CL,1691649062
136,wailua homesteads,22.0669,-159.378,26.44,80,75,8.75,US,1691649063
137,aasiaat,68.7098,-52.8699,3.42,90,100,5.89,GL,1691649063
138,sandnessjoen,66.0217,12.6316,14.29,76,100,4.41,NO,1691649063
139,acapulco de juarez,16.8634,-99.8901,28.9,79,100,1.54,MX,1691649063
140,owando,-0.4819,15.8999,24.85,76,100,1.82,CG,1691649064
141,kavaje,41.1856,19.5569,20.09,55,51,0.96,AL,1691649064
142,lebu,-37.6167,-73.65,11.35,90,100,5.03,CL,1691649064
143,mahibadhoo,3.7833,72.9667,27.04,79,100,3.07,MV,1691649064
144,viedma,-40.8135,-62.9967,12.32,52,100,5.92,AR,1691649064
145,lionel town,17.8101,-77.2406,29.94,87,11,1.58,JM,1691649065
146,guerrero negro,27.9769,-114.0611,21.03,88,9,5.83,MX,1691649065
147,hammerfest,70.6634,23.6821,22.25,68,0,0.0,NO,1691649065
148,inari,68.906,27.0288,22.11,85,50,1.12,FI,1691648910
149,kyzylorda,44.8528,65.5092,36.01,20,0,8.0,KZ,1691649065
150,belo sur tsiribihina,-19.7,44.55,28.17,49,0,1.31,MG,1691649066
151,montepuez,-13.1256,38.9997,23.35,42,2,4.25,MZ,1691649066
152,moab,38.5733,-109.5498,25.83,25,18,3.66,US,1691649066
153,qarazhal,48.0078,70.7903,28.45,34,8,5.51,KZ,1691649066
154,egilsstadir,65.2653,-14.3948,3.95,93,0,1.03,IS,1691648810
155,kingston,17.997,-76.7936,29.53,86,20,1.54,JM,1691649067
156,udachny,66.4167,112.4,25.26,47,38,7.12,RU,1691649067
157,khemis miliana,36.261,2.2202,31.26,25,0,1.15,DZ,1691649067
158,manicore,-5.8092,-61.3003,24.0,69,16,0.33,BR,1691649067
159,portland,45.5234,-122.6762,20.99,78,75,4.63,US,1691648816
